name,course,credit,grade,cgpa
Fatema Sarker,CS103,3,79.5,2.59
Arif Das,CS101,4,72.6,3.82
Imran Ahmed,CS104,4,96.8,2.62
Hasan Das,CS101,2,70.8,3.53
Tania Chowdhury,CS104,3,81.9,2.71
Mousumi Islam,CS102,4,82.6,2.81
Nadim Miah,CS102,4,86.6,2.83
Arif Das,CS105,4,85.7,2.33
Nadim Hossain,CS102,3,68.6,2.41
Rahim Sarker,CS102,2,72.9,3.17
Fatema Hossain,CS102,2,95.6,3.95
Karim Mondal,CS104,4,64.2,2.53
Nadim Ahmed,CS102,2,64.0,3.51
Fatema Miah,CS104,3,95.2,2.59
Rina Rahman,CS103,3,61.2,2.94
Puja Ahmed,CS103,4,63.2,2.19
Rina Khan,CS103,3,91.9,3.35
Jamal Islam,CS104,3,98.3,3.29
Sohel Hossain,CS105,3,93.8,2.55
Mousumi Ahmed,CS101,3,71.4,3.36
Puja Das,CS102,2,80.1,2.62
Nusrat Das,CS103,4,96.7,2.29
Shila Das,CS103,4,94.6,2.59
Sadia Das,CS101,4,66.5,2.09
Ruma Khan,CS102,2,84.6,3.27
Sadia Sarker,CS104,2,65.0,3.34
Arif Das,CS105,3,71.1,2.54
Ayesha Khan,CS103,3,63.1,2.02
Puja Ahmed,CS104,2,67.9,2.2
Shila Chowdhury,CS102,3,95.6,2.53
Rafi Chowdhury,CS101,4,66.4,2.24
Puja Ahmed,CS102,3,91.3,2.22
Fatema Ahmed,CS101,4,60.4,3.61
Nusrat Chowdhury,CS105,4,76.2,2.1
Rafi Sarker,CS103,4,74.2,2.44
Karim Islam,CS103,2,99.0,3.58
Mousumi Khan,CS102,3,75.4,3.08
Rafi Ahmed,CS104,2,79.2,3.24
Shila Ahmed,CS105,3,67.5,2.85
Salam Islam,CS103,2,65.9,3.53
Sohel Khan,CS101,2,83.9,2.17
Rina Rahman,CS105,3,89.2,3.29
Tania Chowdhury,CS105,3,82.8,2.15
Karim Hossain,CS103,3,67.7,3.25
Rina Hossain,CS104,4,86.1,3.91
Nadim Miah,CS103,2,96.7,3.32
Nadim Islam,CS102,4,88.1,3.15
Arif Das,CS102,4,94.9,3.0
Rafi Islam,CS101,4,88.3,3.5
Tania Chowdhury,CS103,3,61.6,2.82
Hasan Mondal,CS101,4,91.6,3.02
Nadim Miah,CS104,3,67.6,2.02
Hasan Islam,CS103,4,80.7,2.19
Ayesha Chowdhury,CS102,3,76.0,3.29
Fatema Khan,CS102,4,84.2,2.58
Shila Sarker,CS105,2,85.8,2.03
Ayesha Chowdhury,CS102,3,81.7,3.22
Sadia Hossain,CS104,2,86.6,2.82
Sadia Rahman,CS105,3,67.1,2.28
Fatema Ahmed,CS102,4,83.9,3.27
Tania Rahman,CS104,4,64.0,3.26
Shila Rahman,CS104,2,98.5,2.42
Shila Mondal,CS105,4,80.8,3.52
Puja Sarker,CS104,2,65.1,3.37
Rina Miah,CS104,2,78.5,3.25
Nusrat Chowdhury,CS104,2,88.4,3.09
Sohel Hossain,CS103,2,60.5,2.79
Karim Hossain,CS101,4,97.9,2.63
Shila Chowdhury,CS104,2,66.6,3.93
Ayesha Chowdhury,CS101,2,96.3,2.66
Karim Sarker,CS101,4,92.2,3.06
Rahim Khan,CS102,4,82.7,3.71
Ayesha Khan,CS105,4,72.3,3.88
Imran Miah,CS101,2,94.8,3.74
Mousumi Islam,CS103,3,73.1,2.84
Puja Hossain,CS102,2,95.4,2.8
Rahim Miah,CS102,3,69.2,3.17
Puja Khan,CS102,2,99.8,2.99
Tania Rahman,CS102,2,98.9,3.75
Rahim Chowdhury,CS103,3,82.0,2.54
Sohel Das,CS103,3,99.5,3.89
Hasan Miah,CS102,3,83.4,3.73
Rahim Islam,CS104,2,74.4,2.47
Karim Hossain,CS102,4,60.4,2.95
Imran Chowdhury,CS103,4,69.3,2.65
Fatema Das,CS104,2,92.0,2.29
Nusrat Miah,CS101,4,81.6,3.16
Jamal Ahmed,CS105,3,76.9,3.12
Ruma Ahmed,CS101,3,99.9,3.89
Karim Hossain,CS105,3,64.2,3.74
Puja Mondal,CS105,3,74.4,3.79
Sadia Hossain,CS101,3,69.3,3.6
Sadia Hossain,CS101,4,70.2,2.65
Puja Khan,CS104,2,89.8,2.46
Ayesha Das,CS101,3,82.9,3.91
Rafi Islam,CS101,4,88.3,2.63
Mousumi Islam,CS104,2,83.2,2.15
Fatema Das,CS104,3,77.6,3.9
Nusrat Hossain,CS102,2,79.6,3.33
Karim Miah,CS101,4,85.9,2.89
Arif Miah,CS105,2,94.5,2.77
Arif Das,CS101,4,77.2,3.1
Karim Das,CS105,2,94.3,3.46
Imran Hossain,CS104,4,99.8,2.84
Rina Khan,CS105,2,86.3,2.61
Shila Rahman,CS103,4,66.2,2.62
Ruma Mondal,CS105,3,85.6,2.53
Shila Hossain,CS102,2,89.5,2.62
Fatema Hossain,CS102,4,71.5,3.33
Salam Chowdhury,CS103,2,67.4,2.92
Rina Sarker,CS102,2,61.8,3.29
Mousumi Sarker,CS102,4,83.3,3.82
Ruma Miah,CS105,2,99.0,3.62
Nusrat Khan,CS104,4,63.2,2.94
Tania Chowdhury,CS105,2,77.4,3.42
Fatema Sarker,CS102,4,95.0,3.21
Arif Miah,CS105,3,77.3,2.53
Rahim Hossain,CS101,2,88.0,2.74
Hasan Chowdhury,CS101,3,97.7,2.33
Sadia Ahmed,CS103,2,75.3,2.1
Mousumi Khan,CS105,4,84.4,2.19
Jamal Das,CS103,2,94.2,3.47
Mousumi Das,CS102,3,66.9,2.35
Sadia Mondal,CS103,4,82.7,2.2
Salam Islam,CS103,3,66.9,3.99
Rafi Islam,CS102,4,76.2,2.72
Nadim Sarker,CS105,2,67.3,2.64
Hasan Das,CS101,3,80.3,2.67
Karim Rahman,CS102,3,84.9,3.07
Hasan Miah,CS102,3,90.3,2.49
Shila Islam,CS103,4,71.2,3.45
Rahim Hossain,CS104,2,98.8,2.91
Nusrat Islam,CS104,2,78.7,3.15
Arif Chowdhury,CS101,3,74.5,2.43
Puja Ahmed,CS102,3,64.7,2.82
Rafi Mondal,CS105,4,65.5,3.57
Imran Sarker,CS104,3,76.3,3.23
Ruma Rahman,CS102,4,87.8,3.75
Sohel Khan,CS101,3,63.5,2.6
Ayesha Hossain,CS102,4,98.7,3.29
Nadim Islam,CS105,4,79.6,2.83
Sadia Rahman,CS102,3,63.0,2.06
Karim Sarker,CS101,2,65.0,2.21
Salam Sarker,CS105,2,61.0,3.75
Nadim Hossain,CS102,4,85.9,2.18
Sadia Rahman,CS101,2,97.5,3.58
Ayesha Miah,CS104,4,75.1,3.75
Ayesha Miah,CS102,4,84.2,2.95
Arif Chowdhury,CS104,3,85.4,3.1
Jamal Rahman,CS102,4,77.6,2.73
Sadia Chowdhury,CS105,4,87.7,3.15
Salam Rahman,CS105,3,90.4,3.94
Rahim Das,CS105,2,67.9,3.17
Ruma Hossain,CS105,2,87.3,3.08
Nusrat Chowdhury,CS105,4,82.9,2.0
Arif Ahmed,CS102,2,96.8,3.9
Sadia Hossain,CS102,2,77.3,2.37
Rafi Khan,CS105,3,90.3,2.48
Ruma Ahmed,CS105,3,72.6,2.44
Arif Sarker,CS104,3,65.1,2.72
Jamal Khan,CS103,2,95.2,3.24
Salam Das,CS103,3,91.9,2.8
Sohel Sarker,CS102,2,72.3,3.48
Nadim Rahman,CS103,2,74.5,3.76
Salam Rahman,CS103,3,96.6,2.66
Salam Hossain,CS101,3,79.4,3.42
Ayesha Miah,CS104,2,63.3,3.4
Shila Ahmed,CS101,3,84.9,3.7
Fatema Hossain,CS103,2,83.1,3.97
Shila Islam,CS103,4,86.2,3.33
Ayesha Miah,CS105,2,89.1,3.34
Sadia Miah,CS104,4,73.4,2.69
Rafi Ahmed,CS105,4,87.7,3.37
Sadia Islam,CS101,3,72.6,2.28
Rahim Chowdhury,CS103,4,90.9,3.91
Shila Sarker,CS101,4,89.1,2.66
Imran Ahmed,CS104,4,70.3,3.25
Mousumi Hossain,CS104,3,78.6,2.44
Rina Ahmed,CS101,3,88.6,2.84
Rahim Miah,CS103,3,68.9,2.19
Karim Sarker,CS103,2,90.1,2.39
Ruma Sarker,CS105,2,81.8,3.51
Nadim Das,CS102,4,95.8,3.8
Imran Islam,CS101,2,94.0,3.74
Shila Khan,CS103,2,64.6,2.25
Ayesha Sarker,CS101,3,95.0,2.95
Nusrat Chowdhury,CS104,3,87.4,3.21
Puja Miah,CS102,3,70.9,2.85
Fatema Chowdhury,CS103,4,74.6,3.99
Nadim Das,CS102,4,66.0,2.93
Hasan Sarker,CS104,4,82.3,2.15
Fatema Hossain,CS101,3,72.3,2.97
Rina Khan,CS104,2,69.4,2.29
Rina Khan,CS101,2,76.4,2.28
Ruma Chowdhury,CS101,4,67.9,3.24
Sohel Das,CS103,3,82.0,3.98
Sohel Rahman,CS105,3,70.7,3.27
Puja Sarker,CS105,4,99.8,2.22
Mousumi Ahmed,CS105,4,76.3,2.52
Rina Khan,CS105,3,76.3,2.11
Karim Ahmed,CS102,2,83.9,2.83
Sohel Miah,CS102,2,64.1,3.1
Ayesha Das,CS101,3,98.5,2.9
Sadia Mondal,CS103,3,61.4,2.06
Hasan Sarker,CS102,3,82.4,3.63
Tania Ahmed,CS101,2,77.7,2.49
Rafi Rahman,CS101,3,81.5,3.41
Rina Hossain,CS105,4,76.2,2.45
Rina Hossain,CS105,4,97.3,3.29
Sadia Chowdhury,CS105,3,99.1,2.63
Tania Rahman,CS105,3,69.6,2.08
Ruma Rahman,CS104,2,98.2,2.49
Hasan Das,CS104,4,81.5,2.01
Ayesha Chowdhury,CS102,4,84.8,3.09
Karim Chowdhury,CS101,3,74.2,3.42
Arif Mondal,CS104,2,96.7,3.49
Mousumi Islam,CS105,4,66.0,3.12
Nusrat Chowdhury,CS103,4,75.2,2.47
Nadim Islam,CS101,2,96.7,3.32
Sadia Khan,CS103,3,71.9,2.04
Sadia Khan,CS101,3,80.8,3.6
Salam Miah,CS102,2,82.3,3.9
Rafi Islam,CS101,4,66.3,2.81
Shila Das,CS105,4,80.5,2.38
Nadim Miah,CS105,3,97.5,2.36
Sohel Chowdhury,CS102,4,87.9,2.62
Sadia Ahmed,CS102,4,69.9,2.77
Jamal Islam,CS105,3,78.9,3.39
Mousumi Sarker,CS105,3,69.8,2.32
Salam Khan,CS103,4,90.0,2.65
Imran Ahmed,CS105,3,66.1,3.9
Fatema Mondal,CS104,2,77.0,3.44
Sohel Chowdhury,CS105,2,76.3,2.53
Ayesha Hossain,CS104,2,69.6,3.52
Rafi Hossain,CS104,4,61.6,3.48
Rahim Hossain,CS104,3,89.6,2.03
Shila Mondal,CS103,4,90.1,2.06
Rina Ahmed,CS104,2,81.7,2.78
Rina Das,CS104,3,69.9,2.12
Nusrat Hossain,CS102,3,87.6,3.14
Jamal Ahmed,CS103,3,78.2,2.18
Ayesha Khan,CS103,2,91.5,3.47
Puja Miah,CS102,2,97.3,3.53
Shila Rahman,CS103,4,72.7,2.87
Imran Hossain,CS101,2,89.3,2.36
Arif Sarker,CS101,4,84.0,2.83
Fatema Sarker,CS101,4,86.0,2.96
Rina Khan,CS103,2,72.9,3.94
Karim Khan,CS104,3,73.0,3.63
Karim Rahman,CS105,3,88.6,2.03
Fatema Hossain,CS101,2,73.0,2.29
Jamal Islam,CS101,3,80.1,2.83
Tania Chowdhury,CS103,3,62.5,2.92
Hasan Sarker,CS102,2,78.1,2.86
Jamal Das,CS105,2,88.1,3.12
Tania Islam,CS103,4,64.5,3.01
Rafi Chowdhury,CS104,4,97.0,2.0
Shila Sarker,CS104,3,75.2,2.28
Rina Miah,CS103,2,75.8,2.05
Rina Miah,CS101,4,72.6,3.07
Nusrat Das,CS104,2,60.6,3.99
Hasan Mondal,CS104,2,88.8,2.53
Sohel Hossain,CS103,4,84.2,2.08
Arif Miah,CS102,4,84.7,3.68
Jamal Rahman,CS103,3,95.2,2.34
Tania Rahman,CS104,4,89.5,3.08
Sadia Hossain,CS105,4,69.3,3.01
Rahim Das,CS105,2,82.2,3.95
Karim Chowdhury,CS104,3,84.9,2.57
Nadim Islam,CS104,3,74.3,2.81
Sohel Islam,CS104,2,87.4,3.11
Fatema Islam,CS105,3,89.3,2.15
Ruma Islam,CS102,2,69.8,2.75
Karim Khan,CS102,2,63.4,3.86
Rahim Rahman,CS102,2,84.6,3.84
Sadia Rahman,CS103,4,61.3,3.37
Nusrat Mondal,CS105,3,72.4,2.81
Imran Rahman,CS103,2,86.4,3.4
Puja Miah,CS101,3,78.9,3.3
Arif Rahman,CS105,4,62.3,2.08
Nusrat Mondal,CS104,3,67.7,2.68
Rahim Ahmed,CS104,2,73.7,3.91
Salam Ahmed,CS104,2,79.1,3.61
Jamal Rahman,CS103,3,69.4,3.39
Nadim Miah,CS105,3,84.6,3.9
Imran Chowdhury,CS105,3,62.5,2.64
Nadim Mondal,CS105,3,71.8,3.49
Jamal Miah,CS103,2,81.6,2.89
Mousumi Miah,CS101,3,67.0,2.21
Ayesha Chowdhury,CS104,2,62.3,2.64
Rafi Mondal,CS103,4,73.6,3.23
Mousumi Chowdhury,CS104,3,63.6,3.79
Sohel Rahman,CS101,2,73.0,2.61
Tania Islam,CS101,4,76.8,2.52
Imran Mondal,CS101,4,88.0,2.13
Ayesha Mondal,CS102,2,94.0,3.15
Imran Khan,CS103,2,65.4,3.25
Nusrat Islam,CS105,2,99.2,2.43
Rahim Ahmed,CS101,2,79.3,2.12
Rina Khan,CS105,2,82.8,2.93
Imran Mondal,CS104,3,70.7,2.61
Ayesha Mondal,CS101,2,63.9,3.26
Fatema Rahman,CS103,4,95.0,2.34
Imran Sarker,CS102,3,96.2,2.34
Salam Hossain,CS105,4,79.4,2.01
Puja Mondal,CS101,3,96.1,3.15
Imran Mondal,CS102,2,75.0,3.28
Sadia Islam,CS103,2,85.1,2.88
Karim Das,CS101,2,84.2,3.48
Tania Rahman,CS102,4,96.8,2.45
Hasan Islam,CS104,3,61.0,2.44
Jamal Sarker,CS103,3,60.4,3.95
Nadim Miah,CS101,2,71.4,3.43
Jamal Das,CS103,4,67.7,3.68
Hasan Miah,CS103,2,79.4,2.61
Jamal Islam,CS102,3,67.9,2.74
Jamal Rahman,CS104,4,71.7,4.0
Sadia Chowdhury,CS104,3,79.8,2.26
Rafi Miah,CS101,2,60.7,2.31
Rafi Mondal,CS104,2,65.2,2.32
Arif Mondal,CS105,3,100.0,3.57
Nadim Chowdhury,CS101,4,78.1,3.22
Jamal Khan,CS101,2,85.3,3.06
Ayesha Islam,CS102,4,91.8,2.1
Hasan Islam,CS105,3,97.8,2.18
Hasan Das,CS101,4,90.2,2.09
Tania Islam,CS102,4,79.6,2.93
Jamal Mondal,CS105,2,96.6,3.14
Ayesha Sarker,CS101,4,91.9,2.19
Arif Sarker,CS105,3,75.4,2.44
Ruma Khan,CS102,3,79.0,3.72
Ruma Rahman,CS104,4,72.8,2.63
Sohel Das,CS104,4,67.1,2.57
Mousumi Das,CS105,4,86.6,2.62
Sadia Das,CS102,2,72.0,2.69
Karim Islam,CS104,3,60.4,3.36
Tania Miah,CS102,4,60.1,3.04
Ruma Mondal,CS104,2,64.2,2.69
Rafi Das,CS102,2,76.0,2.57
Mousumi Chowdhury,CS103,2,72.3,3.28
Jamal Sarker,CS101,2,62.7,2.78
Puja Mondal,CS102,4,73.3,2.8
Jamal Mondal,CS105,3,81.5,2.31
Tania Das,CS101,4,97.5,3.99
Nadim Khan,CS101,3,75.2,2.64
Mousumi Miah,CS101,3,84.8,2.25
Sohel Rahman,CS105,2,98.7,2.01
Imran Chowdhury,CS103,3,91.2,3.75
Puja Das,CS102,2,72.0,3.42
Mousumi Rahman,CS103,2,74.3,3.46
Puja Hossain,CS103,3,86.7,2.8
Jamal Das,CS104,4,84.5,2.14
Jamal Das,CS104,4,60.1,2.14
Mousumi Mondal,CS103,2,88.4,3.49
Rafi Chowdhury,CS102,2,67.3,2.25
Mousumi Khan,CS103,4,66.4,2.27
Ruma Chowdhury,CS101,4,80.4,2.74
Imran Miah,CS104,3,87.6,2.7
Shila Ahmed,CS101,4,80.4,2.43
Rahim Miah,CS103,3,96.5,3.78
Arif Mondal,CS104,2,75.3,2.33
Imran Chowdhury,CS102,4,68.7,3.15
Nadim Das,CS103,2,80.0,3.74
Ayesha Chowdhury,CS104,4,74.6,2.09
Rahim Islam,CS102,2,83.1,2.09
Ayesha Chowdhury,CS103,2,84.1,3.78
Fatema Das,CS101,4,74.0,2.27
Imran Khan,CS104,3,91.6,2.26
Arif Mondal,CS105,3,85.8,3.67
Sohel Rahman,CS105,4,85.0,2.6
Rafi Mondal,CS102,3,88.4,2.77
Jamal Khan,CS104,2,64.6,3.27
Nadim Hossain,CS105,3,72.5,3.18
Ruma Hossain,CS101,4,87.5,2.9
Sadia Das,CS105,4,95.2,3.72
Puja Chowdhury,CS102,4,71.8,3.55
Tania Mondal,CS104,2,92.6,2.83
Jamal Chowdhury,CS103,4,86.1,3.77
Shila Mondal,CS103,4,92.4,2.69
Nadim Chowdhury,CS103,2,62.1,3.79
Nadim Khan,CS103,4,94.8,3.46
Mousumi Hossain,CS105,3,71.3,3.03
Rahim Mondal,CS104,3,89.5,2.98
Ruma Mondal,CS103,4,99.3,3.71
Rina Islam,CS105,2,70.5,2.95
Ruma Islam,CS101,4,92.0,3.29
Nusrat Chowdhury,CS104,2,87.8,3.99
Mousumi Ahmed,CS103,4,92.3,2.05
Salam Ahmed,CS104,4,73.2,2.25
Ayesha Khan,CS104,4,94.5,3.64
Puja Chowdhury,CS101,2,72.2,2.3
Sohel Chowdhury,CS103,2,89.3,2.91
Hasan Ahmed,CS101,3,64.1,3.46
Salam Hossain,CS102,2,83.4,2.93
Jamal Chowdhury,CS105,2,63.8,3.22
Rafi Miah,CS102,4,75.7,3.06
Puja Khan,CS103,3,88.0,3.09
Nadim Rahman,CS102,3,75.9,2.71
Ruma Ahmed,CS102,2,63.7,2.11
Hasan Hossain,CS101,4,84.7,3.33
Rina Sarker,CS101,2,86.4,3.55
Tania Hossain,CS104,4,67.3,3.12
Karim Hossain,CS105,3,69.1,3.13
Nusrat Sarker,CS103,2,66.0,3.91
Sohel Sarker,CS102,4,77.5,2.43
Ruma Rahman,CS105,3,77.5,3.35
Arif Rahman,CS105,2,74.6,2.53
Salam Islam,CS103,4,70.2,3.46
Jamal Miah,CS105,3,72.4,2.06
Sohel Chowdhury,CS103,4,90.2,2.17
Hasan Miah,CS104,3,63.1,2.12
Salam Das,CS104,4,67.1,3.51
Rahim Hossain,CS102,4,68.3,3.81
Tania Mondal,CS105,3,85.4,3.01
Tania Khan,CS103,3,73.2,2.5
Arif Ahmed,CS104,2,80.4,2.94
Imran Rahman,CS102,3,89.0,3.04
Karim Rahman,CS104,4,70.7,3.58
Tania Das,CS104,2,74.0,2.07
Sohel Rahman,CS103,2,66.6,2.88
Rahim Islam,CS104,2,64.5,2.58
Rahim Das,CS105,4,78.5,3.55
Jamal Rahman,CS105,2,62.1,2.18
Nusrat Khan,CS105,2,98.6,3.57
Rahim Islam,CS102,3,90.2,3.71
Karim Das,CS104,4,75.0,3.16
Hasan Miah,CS103,4,82.3,3.69
Ayesha Miah,CS102,2,81.2,3.84
Sohel Sarker,CS104,4,89.9,2.32
Imran Sarker,CS102,2,64.6,3.53
Tania Rahman,CS104,4,79.0,2.97
Arif Islam,CS102,2,86.9,2.65
Salam Das,CS103,4,97.1,2.89
Jamal Rahman,CS101,2,92.2,2.93
Ayesha Islam,CS105,4,65.3,2.71
Tania Sarker,CS101,4,60.3,3.03
Nusrat Islam,CS103,4,73.8,3.46
Hasan Islam,CS104,3,99.8,2.45
Fatema Mondal,CS102,3,80.5,3.96
Hasan Islam,CS103,3,78.3,2.31
Rafi Mondal,CS104,2,95.7,2.88
Sohel Miah,CS101,3,99.2,3.4
Rahim Sarker,CS103,2,96.2,3.43
Karim Das,CS102,3,67.2,2.73
Nusrat Das,CS104,2,94.2,3.84
Ayesha Mondal,CS103,2,68.0,2.66
Imran Miah,CS104,2,97.6,3.59
Karim Miah,CS101,2,69.3,3.98
Jamal Miah,CS105,4,64.5,3.1
Tania Mondal,CS101,3,95.2,3.95
Rafi Mondal,CS102,2,71.9,2.88
Rafi Chowdhury,CS104,2,95.7,3.29
Fatema Ahmed,CS102,4,70.6,3.92
Rahim Chowdhury,CS105,4,62.9,2.3
Rina Islam,CS102,2,91.0,3.85
Puja Miah,CS103,3,64.9,2.99
Nusrat Sarker,CS103,4,80.5,2.09
Nusrat Mondal,CS102,3,67.7,2.35
Rafi Islam,CS103,2,68.8,2.79
Shila Das,CS105,3,86.6,3.86
Ayesha Hossain,CS104,3,85.6,2.38
Tania Khan,CS101,4,67.8,3.79
Sadia Ahmed,CS103,2,91.6,2.03
Ruma Ahmed,CS103,2,65.0,3.57
Salam Chowdhury,CS105,4,91.0,2.87
Shila Ahmed,CS102,4,89.9,2.13
Rina Rahman,CS105,2,88.5,3.1
Ayesha Islam,CS103,3,86.6,3.34
Imran Islam,CS105,4,73.5,3.74
Fatema Ahmed,CS102,4,71.0,2.43
Arif Hossain,CS101,4,75.4,2.43
Sohel Rahman,CS104,3,88.7,3.01
Rina Hossain,CS105,4,78.3,3.53
Rina Hossain,CS102,2,98.6,3.02
Nadim Hossain,CS104,4,81.4,3.21
Nusrat Miah,CS105,3,97.7,2.42
Rina Islam,CS105,4,96.1,2.29
Nadim Ahmed,CS103,4,97.2,2.41
Shila Mondal,CS105,2,60.1,3.45
Ruma Chowdhury,CS101,3,86.1,3.52
Arif Khan,CS101,2,88.2,3.19
Imran Islam,CS105,2,98.1,2.28
Ayesha Islam,CS103,2,66.4,3.03
Ruma Mondal,CS101,3,61.8,2.81
Imran Rahman,CS105,4,62.8,2.62
Ruma Islam,CS103,3,69.0,2.22
Nusrat Islam,CS101,3,76.7,2.12
Tania Mondal,CS101,4,82.2,3.99
Sohel Rahman,CS105,2,72.7,3.83
Nusrat Khan,CS104,4,85.3,3.91
Tania Rahman,CS104,4,92.4,3.44
Nusrat Hossain,CS101,4,76.8,3.7
Karim Chowdhury,CS103,3,72.0,3.86
Jamal Das,CS101,4,93.4,2.51
Fatema Rahman,CS103,2,89.8,2.3
Jamal Sarker,CS101,2,77.2,3.62
Mousumi Miah,CS102,2,76.7,2.8
Fatema Islam,CS105,3,90.8,3.92
Ruma Khan,CS101,3,64.4,3.35
Fatema Khan,CS101,3,78.0,2.17
Salam Sarker,CS102,4,99.4,3.92
Tania Chowdhury,CS101,2,80.2,2.53
Tania Chowdhury,CS102,3,92.6,2.84
Fatema Hossain,CS103,4,89.1,3.07
Rafi Ahmed,CS103,3,79.3,3.13
Hasan Rahman,CS105,3,73.0,3.54
Jamal Sarker,CS103,3,90.2,2.24
Sadia Das,CS105,4,62.8,2.42
Rina Ahmed,CS102,3,65.5,2.05
Imran Mondal,CS103,4,92.3,2.54
Ayesha Mondal,CS105,3,74.5,2.49
Ayesha Mondal,CS101,2,60.3,3.39
Rina Ahmed,CS101,2,73.4,3.13
Hasan Das,CS101,4,66.5,2.16
Ayesha Chowdhury,CS105,4,75.3,2.3
Shila Khan,CS102,4,97.5,2.32
Sadia Das,CS105,4,90.5,2.92
Rina Miah,CS101,2,97.7,2.41
Rahim Mondal,CS104,4,73.5,3.35
Shila Khan,CS105,3,79.6,3.81
Shila Miah,CS105,4,88.2,2.98
Sohel Sarker,CS101,4,72.9,3.66
Hasan Hossain,CS103,3,80.1,3.15
Nadim Ahmed,CS105,2,81.1,2.69
Ruma Sarker,CS105,2,80.5,2.95
Ayesha Mondal,CS105,3,92.4,3.68
Imran Rahman,CS105,3,64.3,3.47
Mousumi Miah,CS105,3,65.8,2.95
Karim Miah,CS102,2,87.2,2.39
Rina Sarker,CS101,3,90.1,3.09
